uuid,commodity_name,country,market,price_type,unit
5aea0f09-bca0-48a0-b881-dbffa8ccd943,Maize (flour),Angola,Luanda,RETAIL,Kg
5b7147b2-d8d1-43d5-a0d9-6fbfdb193af1,Rice (long grain),Angola,Huambo,RETAIL,Kg
5cdeca11-32ad-4063-bb89-aac8f5e2bcd0,Sugar (white),Angola,Uíge,RETAIL,Kg
5e5536be-b37e-4b7c-9a6a-60453980665e,Maize (flour),Angola,Cabinda,RETAIL,Kg
6507aac8-df16-4542-8d02-6ef1611c651a,Wheat (flour),Angola,Cunene,RETAIL,Kg
652925e2-b2f5-440b-9487-f8ff3bc650f5,Palm Oil,Angola,Uíge,RETAIL,Liter
654f2ed9-fce1-4c99-bec3-2d55e3198833,Rice (long grain),Angola,Moxico,RETAIL,Kg
6e110079-88fd-4110-9162-459f402347bc,Sugar (white),Angola,Bengo,RETAIL,Kg
70a7ef0b-593d-46f1-a6f1-3de371973be9,Rice (long grain),Angola,Cabinda,RETAIL,Kg
720a26b9-685b-48a6-9bd0-c63eeb717166,Wheat (flour),Angola,Benguela,RETAIL,Kg
74162cb0-969e-4004-b527-80f11e9983ff,Cassava,Angola,Bengo,RETAIL,Kg
7794f082-b5ea-43bf-b425-dbae90006f2c,Wheat (flour),Angola,Lunda Sul,RETAIL,Kg
77b71b6a-1209-4e69-9e12-ba891bacf6ae,Cassava,Angola,Benguela,RETAIL,Kg
788ea049-453f-40cb-a2b5-2e538ae244ce,Wheat (flour),Angola,Zaire,RETAIL,Kg
78df747d-1d43-4764-88e6-35a3db8818bc,Sugar (white),Angola,Moxico,RETAIL,Kg
8656191a-2ffc-433f-b594-467391128045,Cassava,Angola,Moxico,RETAIL,Kg
88a08a44-2edb-4091-9273-1fe0b8d14ea2,Rice (long grain),Angola,Malanje,RETAIL,Kg
8920d867-7cd8-4f4f-8268-e1377d8eaa40,Wheat (flour),Angola,Cabinda,RETAIL,Kg
897d80e7-1dae-444a-81e8-6410162b28c7,Maize (flour),Angola,Cuanza Norte,RETAIL,Kg
8a16be3b-70cd-4412-ac26-3401e83b75e6,Palm Oil,Angola,Malanje,RETAIL,Liter
