date,commodity_name,country,market,price_type,unit,uuid,price_usd
2003-01-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,105.78
2003-02-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,106.25
2003-03-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,104.84
2003-04-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,105.35
2003-05-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,107.75
2003-06-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,107.21
2003-07-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,98.74
2003-08-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,100.0
2003-09-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,103.44
2003-10-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,103.81
2003-11-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,107.48
2003-12-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,111.61
2004-01-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,115.82
2004-02-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,122.29
2004-03-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,128.71
2004-04-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,132.94
2004-05-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,130.14
2004-06-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,123.75
2004-07-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,104.94
2004-08-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,104.48
2004-09-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,97.09
2004-10-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,93.33
2004-11-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,93.56
2004-12-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,96.28
2005-01-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,96.48
2005-02-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,93.84
2005-03-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,99.98
2005-04-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,96.65
2005-05-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,94.48
2005-06-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,97.71
2005-07-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,105.26
2005-08-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,98.5
2005-09-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,97.11
2005-10-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,101.3
2005-11-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,96.71
2005-12-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,103.36
2006-01-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,103.05
2006-02-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,106.86
2006-03-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,104.6
2006-04-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,107.8
2006-05-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,110.57
2006-06-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,108.95
2006-07-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,114.3
2006-08-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,113.46
2006-09-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,119.29
2006-10-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,141.49
2006-11-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,166.36
2006-12-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,160.07
2007-01-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,163.95
2007-02-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,176.74
2007-03-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,169.63
2007-04-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,150.39
2007-05-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,158.65
2007-06-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,165.18
2007-07-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,146.0
2007-08-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,152.26
2007-09-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,157.52
2007-10-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,163.22
2007-11-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,171.33
2007-12-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,181.59
2008-01-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,206.15
2008-02-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,219.78
2008-03-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,234.49
2008-04-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,247.21
2008-05-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,241.7
2008-06-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,280.95
2008-07-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,267.32
2008-08-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,232.47
2008-09-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,229.34
2008-10-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,181.14
2008-11-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,165.86
2008-12-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,160.07
2009-01-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,171.6
2009-02-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,162.84
2009-03-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,165.47
2009-04-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,167.91
2009-05-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,179.86
2009-06-01,"Maize (US No. 2, Yellow)",INTERNATIONAL PRICES,United States of America (Gulf),EXPORT,tonne,5db69fc0-1005-440b-9e6c-065d1acec33e,177.32
