commodity_name,market,price_type,date,price_usd,unit,uuid
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2022-07-01,784.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2022-06-01,783.75,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2022-05-01,842.5,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2022-04-01,954.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2022-03-01,938.13,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2022-02-01,747.13,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2022-01-01,699.38,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2021-12-01,745.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2021-11-01,726.69,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2021-10-01,672.9,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2021-09-01,643.75,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2021-08-01,603.13,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2021-07-01,613.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2021-06-01,604.75,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2021-05-01,574.63,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2021-04-01,543.4,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2021-03-01,534.13,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2021-02-01,528.88,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2021-01-01,421.3,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2020-12-01,388.5,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2020-11-01,359.63,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2020-10-01,357.1,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2020-09-01,358.38,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2020-08-01,341.88,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2020-07-01,305.1,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2020-06-01,273.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2020-05-01,263.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2020-04-01,282.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2020-03-01,276.22,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2020-02-01,279.38,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2020-01-01,264.9,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2019-12-01,238.16,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2019-11-01,248.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2019-10-01,277.38,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2019-09-01,285.75,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2019-08-01,292.9,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2019-07-01,307.5,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2019-06-01,314.88,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2019-05-01,313.4,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2019-04-01,323.75,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2019-03-01,335.03,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2019-02-01,357.38,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2019-01-01,382.13,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2018-12-01,389.67,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2018-11-01,410.2,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2018-10-01,420.75,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2018-09-01,421.63,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2018-08-01,409.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2018-07-01,400.75,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2018-06-01,391.6,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2018-05-01,384.38,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2018-04-01,384.75,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2018-03-01,378.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2018-02-01,370.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2018-01-01,360.38,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2017-12-01,357.25,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2017-11-01,344.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2017-10-01,322.38,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2017-09-01,325.9,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2017-08-01,320.75,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2017-07-01,313.75,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2017-06-01,310.3,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2017-05-01,309.25,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2017-04-01,313.12,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2017-03-01,325.62,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2017-02-01,326.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2017-01-01,308.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2016-12-01,296.62,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2016-11-01,298.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2016-10-01,310.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2016-09-01,320.0,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
"Diammonium phosphate, DAP (P fertilizer)",United States of America (Gulf),EXPORT,2016-08-01,318.06,tonne,017a8265-14f8-4234-a2d3-0c6bc37115d9
