commodity_name,market,price_type,date,price_usd,unit,uuid
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2021-11-01,414.4,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2021-10-01,416.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2021-09-01,412.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2021-08-01,418.8,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2021-07-01,429.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2021-06-01,482.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2021-05-01,508.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2021-04-01,510.67,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2021-03-01,541.8,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2021-02-01,574.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2021-01-01,563.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2020-12-01,537.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2020-11-01,505.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2020-10-01,487.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2020-09-01,523.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2020-08-01,520.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2020-07-01,486.33,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2020-06-01,534.2,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2020-05-01,526.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2020-04-01,580.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2020-03-01,523.4,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2020-02-01,466.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2020-01-01,468.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2019-12-01,449.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2019-11-01,438.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2019-10-01,440.4,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2019-09-01,444.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2019-08-01,446.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2019-07-01,432.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2019-06-01,435.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2019-05-01,425.67,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2019-04-01,427.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2019-03-01,421.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2019-02-01,424.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2019-01-01,430.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2018-12-01,425.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2018-11-01,422.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2018-10-01,430.0,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2018-09-01,426.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2018-08-01,428.25,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2018-07-01,419.6,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2018-06-01,451.75,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2018-05-01,476.6,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2018-04-01,477.5,tonne,c7208b39-2617-426c-b248-c975cb951254
Rice (Thai 100% B white),Thailand (Bangkok),EXPORT,2018-03-01,456.25,tonne,c7208b39-2617-426c-b248-c975cb951254
