commodity_name,market,price_type,date,price_usd,unit,uuid
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2016-03-01,367.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2016-02-01,360.0,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2016-01-01,357.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2015-12-01,370.0,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2015-11-01,390.0,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2015-10-01,417.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2015-09-01,427.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2015-08-01,436.25,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2015-07-01,441.25,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2015-06-01,440.0,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2015-05-01,437.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2015-04-01,432.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2015-03-01,425.0,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2015-02-01,417.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2015-01-01,417.25,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2014-12-01,425.0,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2014-11-01,427.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2014-10-01,432.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2014-09-01,431.25,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2014-08-01,423.75,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2014-07-01,425.0,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2014-06-01,430.0,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2014-05-01,435.0,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2014-04-01,435.0,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2014-03-01,427.5,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
"Cassava Flour/Starch (Super High Grade, f.o.b. Bangkok)",Thailand,EXPORT,2014-02-01,425.0,tonne,5ea85008-9850-4b22-b708-f6855c1efb7e
