date,price_usd,commodity_name,commodity_type,country,iso3,region,subregion,market,price_type,unit,unit_std,price_per_unit,price_source,gdp_ppp17,gdppc_ppp,gnipc_ppp,population,inflation,income_level
01/01/2000,0.29,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.29,Domestic,,,,42647492,-6.601185641,
01/02/2000,0.29,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.29,Domestic,,,,42647492,-6.601185641,
01/03/2000,0.29,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.29,Domestic,,,,42647492,-6.601185641,
01/04/2000,0.28,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.28,Domestic,,,,42647492,-6.601185641,
01/05/2000,0.27,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.27,Domestic,,,,42647492,-6.601185641,
01/06/2000,0.26,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.26,Domestic,,,,42647492,-6.601185641,
01/07/2000,0.27,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.27,Domestic,,,,42647492,-6.601185641,
01/08/2000,0.27,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.27,Domestic,,,,42647492,-6.601185641,
01/09/2000,0.27,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.27,Domestic,,,,42647492,-6.601185641,
01/10/2000,0.26,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.26,Domestic,,,,42647492,-6.601185641,
01/11/2000,0.25,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.25,Domestic,,,,42647492,-6.601185641,
01/12/2000,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492,-6.601185641,
01/01/2001,0.22,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.22,Domestic,,,,42647492,-6.601185641,
01/02/2001,0.21,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.21,Domestic,,,,42647492,-6.601185641,
01/03/2001,0.21,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.21,Domestic,,,,42647492,-6.601185641,
01/04/2001,0.22,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.22,Domestic,,,,42647492,-6.601185641,
01/05/2001,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492,-6.601185641,
01/06/2001,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492,-6.601185641,
01/07/2001,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492,-6.601185641,
01/08/2001,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492,-6.601185641,
01/09/2001,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492,-6.601185641,
01/10/2001,0.42,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.42,Domestic,,,,42647492,-6.601185641,
01/11/2001,0.32,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.32,Domestic,,,,42647492,-6.601185641,
01/12/2001,0.35,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.35,Domestic,,,,42647492,-6.601185641,
01/01/2002,0.27,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.27,Domestic,,,,42647492,-6.601185641,
01/02/2002,0.2,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.2,Domestic,,,,42647492,-6.601185641,
01/03/2002,0.18,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.18,Domestic,,,,42647492,-6.601185641,
01/04/2002,0.21,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.21,Domestic,,,,42647492,-6.601185641,
01/05/2002,0.27,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.27,Domestic,,,,42647492,-6.601185641,
01/06/2002,0.27,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.27,Domestic,,,,42647492,-6.601185641,
01/07/2002,0.18,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.18,Domestic,,,,42647492,-6.601185641,
01/08/2002,0.2,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.2,Domestic,,,,42647492,-6.601185641,
01/09/2002,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492,-6.601185641,
01/10/2002,0.21,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.21,Domestic,,,,42647492,-6.601185641,
01/11/2002,0.2,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.2,Domestic,,,,42647492,-6.601185641,
01/12/2002,0.2,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.2,Domestic,,,,42647492,-6.601185641,
01/01/2003,0.24,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.24,Domestic,,,,42647492,-6.601185641,
01/02/2003,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492,-6.601185641,
01/03/2003,0.21,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.21,Domestic,,,,42647492,-6.601185641,
01/04/2003,0.22,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.22,Domestic,,,,42647492,-6.601185641,
01/05/2003,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492,-6.601185641,
01/06/2003,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492,-6.601185641,
01/07/2003,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492,-6.601185641,
01/08/2003,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492,-6.601185641,
01/09/2003,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492,-6.601185641,
01/10/2003,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492,-6.601185641,
01/11/2003,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492,-6.601185641,
01/12/2003,0.24,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.24,Domestic,,,,42647492,-6.601185641,
01/01/2004,0.31,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.31,Domestic,,,,42647492,-6.601185641,
01/02/2004,0.3,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.3,Domestic,,,,42647492,-6.601185641,
01/03/2004,0.3,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.3,Domestic,,,,42647492,-6.601185641,
01/04/2004,0.3,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.3,Domestic,,,,42647492,-6.601185641,
01/05/2004,0.3,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.3,Domestic,,,,42647492,-6.601185641,
01/06/2004,0.31,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.31,Domestic,,,,42647492,-6.601185641,
01/07/2004,0.32,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.32,Domestic,,,,42647492,-6.601185641,
01/08/2004,0.33,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.33,Domestic,,,,42647492,-6.601185641,
01/09/2004,0.33,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.33,Domestic,,,,42647492,-6.601185641,
01/10/2004,0.33,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.33,Domestic,,,,42647492,-6.601185641,
01/11/2004,0.35,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.35,Domestic,,,,42647492,-6.601185641,
01/12/2004,0.39,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.39,Domestic,,,,42647492,-6.601185641,
01/01/2005,0.38,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.38,Domestic,,,,42647492,-6.601185641,
01/02/2005,0.37,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.37,Domestic,,,,42647492,-6.601185641,
01/03/2005,0.38,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.38,Domestic,,,,42647492,-6.601185641,
01/04/2005,0.38,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.38,Domestic,,,,42647492,-6.601185641,
01/05/2005,0.39,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.39,Domestic,,,,42647492,-6.601185641,
01/06/2005,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/07/2005,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/08/2005,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/09/2005,0.41,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.41,Domestic,,,,42647492,-6.601185641,
01/10/2005,0.41,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.41,Domestic,,,,42647492,-6.601185641,
01/11/2005,0.41,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.41,Domestic,,,,42647492,-6.601185641,
01/12/2005,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/01/2006,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/02/2006,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/03/2006,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/04/2006,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/05/2006,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/06/2006,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/07/2006,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/08/2006,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/09/2006,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/10/2006,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/11/2006,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/12/2006,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/01/2007,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/02/2007,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/03/2007,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/04/2007,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/05/2007,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/06/2007,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/07/2007,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/08/2007,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/09/2007,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/10/2007,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/11/2007,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/12/2007,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492,-6.601185641,
01/01/2008,0.63,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.63,Domestic,,,,42647492,-6.601185641,
01/02/2008,0.63,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.63,Domestic,,,,42647492,-6.601185641,
01/03/2008,0.63,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.63,Domestic,,,,42647492,-6.601185641,
01/04/2008,0.76,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.76,Domestic,,,,42647492,-6.601185641,
01/05/2008,1.06,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,1.06,Domestic,,,,42647492,-6.601185641,
01/06/2008,1.07,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,1.07,Domestic,,,,42647492,-6.601185641,
01/07/2008,1.06,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,1.06,Domestic,,,,42647492,-6.601185641,
01/08/2008,1.06,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,1.06,Domestic,,,,42647492,-6.601185641,
01/09/2008,1.05,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,1.05,Domestic,,,,42647492,-6.601185641,
01/10/2008,0.89,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.89,Domestic,,,,42647492,-6.601185641,
01/11/2008,0.83,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.83,Domestic,,,,42647492,-6.601185641,
01/12/2008,0.75,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.75,Domestic,,,,42647492,-6.601185641,
01/01/2009,0.67,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.67,Domestic,,,,42647492,-6.601185641,
01/02/2009,0.59,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.59,Domestic,,,,42647492,-6.601185641,
01/03/2009,0.59,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.59,Domestic,,,,42647492,-6.601185641,
01/04/2009,0.6,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.6,Domestic,,,,42647492,-6.601185641,
01/05/2009,0.61,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.61,Domestic,,,,42647492,-6.601185641,
01/06/2009,0.59,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.59,Domestic,,,,42647492,-6.601185641,
01/07/2009,0.59,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.59,Domestic,,,,42647492,-6.601185641,
01/08/2009,0.6,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.6,Domestic,,,,42647492,-6.601185641,
01/09/2009,0.59,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.59,Domestic,,,,42647492,-6.601185641,
01/10/2009,0.6,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.6,Domestic,,,,42647492,-6.601185641,
01/11/2009,0.61,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.61,Domestic,,,,42647492,-6.601185641,
01/12/2009,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492,-6.601185641,
01/01/2010,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492,-6.601185641,
01/02/2010,0.63,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.63,Domestic,,,,42647492,-6.601185641,
01/03/2010,0.63,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.63,Domestic,,,,42647492,-6.601185641,
01/04/2010,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492,-6.601185641,
01/05/2010,0.64,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.64,Domestic,,,,42647492,-6.601185641,
01/06/2010,0.65,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.65,Domestic,,,,42647492,-6.601185641,
01/07/2010,0.66,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.66,Domestic,,,,42647492,-6.601185641,
01/08/2010,0.65,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.65,Domestic,,,,42647492,-6.601185641,
01/09/2010,0.66,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.66,Domestic,,,,42647492,-6.601185641,
01/10/2010,0.67,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.67,Domestic,,,,42647492,-6.601185641,
01/11/2010,0.72,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.72,Domestic,,,,42647492,-6.601185641,
01/12/2010,0.76,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.76,Domestic,,,,42647492,-6.601185641,
01/01/2011,0.72,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.72,Domestic,,,,42647492,-6.601185641,
01/02/2011,0.71,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.71,Domestic,,,,42647492,-6.601185641,
01/03/2011,0.71,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.71,Domestic,,,,42647492,-6.601185641,
01/04/2011,0.7,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.7,Domestic,,,,42647492,-6.601185641,
01/05/2011,0.7,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.7,Domestic,,,,42647492,-6.601185641,
01/06/2011,0.69,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.69,Domestic,,,,42647492,-6.601185641,
01/07/2011,0.67,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.67,Domestic,,,,42647492,-6.601185641,
01/08/2011,0.68,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.68,Domestic,,,,42647492,-6.601185641,
01/09/2011,0.67,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.67,Domestic,,,,42647492,-6.601185641,
01/10/2011,0.67,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.67,Domestic,,,,42647492,-6.601185641,
01/11/2011,0.67,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.67,Domestic,,,,42647492,-6.601185641,
01/12/2011,0.66,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.66,Domestic,,,,42647492,-6.601185641,
01/01/2012,0.65,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.65,Domestic,,,,42647492,-6.601185641,
01/02/2012,0.65,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.65,Domestic,,,,42647492,-6.601185641,
01/03/2012,0.65,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.65,Domestic,,,,42647492,-6.601185641,
01/04/2012,0.64,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.64,Domestic,,,,42647492,-6.601185641,
01/05/2012,0.64,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.64,Domestic,,,,42647492,-6.601185641,
01/06/2012,0.63,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.63,Domestic,,,,42647492,-6.601185641,
01/07/2012,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492,-6.601185641,
01/08/2012,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492,-6.601185641,
01/09/2012,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492,-6.601185641,
01/10/2012,0.61,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.61,Domestic,,,,42647492,-6.601185641,
01/11/2012,0.6,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.6,Domestic,,,,42647492,-6.601185641,
01/12/2012,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492,-6.601185641,
01/01/2013,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492,-6.601185641,
01/02/2013,0.62,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.62,Domestic,,,,42647492,-6.601185641,
01/03/2013,0.6,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.6,Domestic,,,,42647492,-6.601185641,
