date,price_usd,commodity_name,commodity_type,country,iso3,region,subregion,market,price_type,unit,unit_std,price_per_unit,price_source,gdp_ppp17,gdppc_ppp,gnipc_ppp,population,inflation,income_level
2002-12-01,0.2,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.2,Domestic,,,,42647492.0,-6.601185641,
2003-01-01,0.24,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.24,Domestic,,,,42647492.0,-6.601185641,
2003-02-01,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492.0,-6.601185641,
2003-03-01,0.21,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.21,Domestic,,,,42647492.0,-6.601185641,
2003-04-01,0.22,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.22,Domestic,,,,42647492.0,-6.601185641,
2003-05-01,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492.0,-6.601185641,
2003-06-01,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492.0,-6.601185641,
2003-07-01,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492.0,-6.601185641,
2003-08-01,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492.0,-6.601185641,
2003-09-01,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492.0,-6.601185641,
2003-10-01,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492.0,-6.601185641,
2003-11-01,0.23,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.23,Domestic,,,,42647492.0,-6.601185641,
2003-12-01,0.24,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.24,Domestic,,,,42647492.0,-6.601185641,
2004-01-01,0.31,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.31,Domestic,,,,42647492.0,-6.601185641,
2004-02-01,0.3,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.3,Domestic,,,,42647492.0,-6.601185641,
2004-03-01,0.3,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.3,Domestic,,,,42647492.0,-6.601185641,
2004-04-01,0.3,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.3,Domestic,,,,42647492.0,-6.601185641,
2004-05-01,0.3,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.3,Domestic,,,,42647492.0,-6.601185641,
2004-06-01,0.31,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.31,Domestic,,,,42647492.0,-6.601185641,
2004-07-01,0.32,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.32,Domestic,,,,42647492.0,-6.601185641,
2004-08-01,0.33,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.33,Domestic,,,,42647492.0,-6.601185641,
2004-09-01,0.33,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.33,Domestic,,,,42647492.0,-6.601185641,
2004-10-01,0.33,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.33,Domestic,,,,42647492.0,-6.601185641,
2004-11-01,0.35,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.35,Domestic,,,,42647492.0,-6.601185641,
2004-12-01,0.39,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.39,Domestic,,,,42647492.0,-6.601185641,
2005-01-01,0.38,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.38,Domestic,,,,42647492.0,-6.601185641,
2005-02-01,0.37,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.37,Domestic,,,,42647492.0,-6.601185641,
2005-03-01,0.38,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.38,Domestic,,,,42647492.0,-6.601185641,
2005-04-01,0.38,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.38,Domestic,,,,42647492.0,-6.601185641,
2005-05-01,0.39,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.39,Domestic,,,,42647492.0,-6.601185641,
2005-06-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2005-07-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2005-08-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2005-09-01,0.41,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.41,Domestic,,,,42647492.0,-6.601185641,
2005-10-01,0.41,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.41,Domestic,,,,42647492.0,-6.601185641,
2005-11-01,0.41,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.41,Domestic,,,,42647492.0,-6.601185641,
2005-12-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2006-01-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2006-02-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2006-03-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2006-04-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2006-05-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2006-06-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2006-07-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2006-08-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2006-09-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2006-10-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2006-11-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2006-12-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2007-01-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2007-02-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2007-03-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2007-04-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2007-05-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2007-06-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2007-07-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2007-08-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2007-09-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2007-10-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2007-11-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2007-12-01,0.4,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.4,Domestic,,,,42647492.0,-6.601185641,
2008-01-01,0.63,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.63,Domestic,,,,42647492.0,-6.601185641,
2008-02-01,0.63,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.63,Domestic,,,,42647492.0,-6.601185641,
2008-03-01,0.63,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.63,Domestic,,,,42647492.0,-6.601185641,
2008-04-01,0.76,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.76,Domestic,,,,42647492.0,-6.601185641,
2008-05-01,1.06,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,1.06,Domestic,,,,42647492.0,-6.601185641,
2008-06-01,1.07,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,1.07,Domestic,,,,42647492.0,-6.601185641,
2008-07-01,1.06,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,1.06,Domestic,,,,42647492.0,-6.601185641,
2008-08-01,1.06,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,1.06,Domestic,,,,42647492.0,-6.601185641,
2008-09-01,1.05,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,1.05,Domestic,,,,42647492.0,-6.601185641,
2008-10-01,0.89,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.89,Domestic,,,,42647492.0,-6.601185641,
2008-11-01,0.83,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.83,Domestic,,,,42647492.0,-6.601185641,
2008-12-01,0.75,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.75,Domestic,,,,42647492.0,-6.601185641,
2009-01-01,0.67,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.67,Domestic,,,,42647492.0,-6.601185641,
2009-02-01,0.59,Bread,Bread,Afghanistan,AFG,Asia,Southern Asia,Herat,Retail,Kg,kg,0.59,Domestic,,,,42647492.0,-6.601185641,
